x 0fx

1 5.5010023061186075e-06 
10 6.540400499943644e-05 
100 0.0007962060044519603 
1000 0.011950742002227344 
10000 0.17316282000683714 
100000 2.487753009001608 
1000000 33.67145485500805 
2000000 70.84005384199554 
3000000 114.3133636739949 
4000000 168.4879305939976 
5000000 211.99258915700193 
6000000 250.1310233020049 
7000000 291.13051842599816 
8000000 337.1121689749998 
9000000 384.4182520240138 
10000000 438.16696087800665 
11000000 469.11839345098997 
12000000 533.3928534880106 
13000000 580.7381782240118 
14000000 634.3781024260097 
15000000 687.6331741090107 
16000000 726.3243992329953 
17000000 773.0248650529975 
18000000 822.3470766230021 
19000000 858.8071685640025

